id,Title,Year of release,Running time,Movie Rated,Rating,Description,Director
114, Sherlock Holmes,2009,2h 8m,PG-13,7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie
115, Sin City,2005,2h 4m,R,8,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",Frank Miller
116, Harry Potter and the Half-Blood Prince,2009,2h 33m,PG,7.6,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates
117, Star Wars: Episode I - The Phantom Menace,1999,2h 16m,PG,6.5,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",George Lucas
118, X-Men Origins: Wolverine,2009,1h 47m,PG-13,6.5,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Gavin Hood
119, Watchmen,2009,2h 42m,R,7.6,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",Zack Snyder
120, The Book of Eli,2010,1h 58m,R,6.8,"A drifter fights his way across a ravaged, post-apocalyptic America while protecting a sacred book that holds the secrets to humanity's salvation.",Albert Hughes
121, Prince of Persia: The Sands of Time,2010,1h 56m,PG-13,6.6,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,Mike Newell
122, Shrek Forever After,2010,1h 33m,PG,6.3,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,Mike Mitchell
123, Predators,2010,1h 47m,R,6.4,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,Nimród Antal
124, Superbad,2007,1h 53m,R,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Greg Mottola
125, American Pie,1999,1h 35m,R,7,Four teenage boys enter a pact to lose their virginity by prom night.,Paul Weitz
126, Scream,1996,1h 51m,R,7.4,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",Wes Craven
127, Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner
128, Finding Nemo,2003,1h 40m,G,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton
129, Love Actually,2003,2h 15m,R,7.6,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis
130, The Incredible Hulk,2008,1h 52m,PG-13,6.6,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",Louis Leterrier
131, Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell
132, A Nightmare on Elm Street,2010,1h 35m,R,5.2,"The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.",Samuel Bayer
133, I Spit on Your Grave,2010,1h 48m,R,6.2,"A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",Steven R. Monroe
134, Troy,2004,2h 43m,R,7.3,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces.",Wolfgang Petersen
135, Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,7.6,"Three years into the Clone Wars, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",George Lucas
136, Percy Jackson & the Olympians: The Lightning Thief,2010,1h 58m,PG,5.9,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Chris Columbus
137, Knocked Up,2007,2h 9m,R,6.9,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",Judd Apatow
138, Juno,2007,1h 36m,PG-13,7.4,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.",Jason Reitman
139, X-Men,2000,1h 44m,PG-13,7.3,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",Bryan Singer
140, Zack and Miri Make a Porno,2008,1h 41m,R,6.5,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",Kevin Smith
141, Law Abiding Citizen,2009,1h 49m,R,7.4,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,F. Gary Gray
142, American Psycho,2000,1h 42m,R,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron
143, YPF,2007,1h 27m,Not Rated,6.2,"On a Tuesday night, five couples have separate sexual adventures.",Martin Gero
144, X-Men: The Last Stand,2006,1h 44m,PG-13,6.6,"The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.",Brett Ratner
145, The Road,2009,1h 51m,R,7.2,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",John Hillcoat
146, Public Enemies,2009,2h 20m,R,6.9,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.",Michael Mann
147, Live Free or Die Hard,2007,2h 8m,PG-13,7.1,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,Len Wiseman
148, Wanted,2008,1h 50m,R,6.7,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",Timur Bekmambetov
149, The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson
150, Forgetting Sarah Marshall,2008,1h 51m,R,7.1,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",Nicholas Stoller
151, The Pianist,2002,2h 30m,R,8.5,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Roman Polanski
152, Tropic Thunder,2008,1h 47m,R,7.1,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",Ben Stiller
153, Death Race,2008,1h 45m,R,6.4,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,Paul W.S. Anderson
